hour_of_day,season,day_of_week,"Comptador Campus Diagonal Sud 1 [kWh] [Sud 1 (ETSAB, EPSEB i FME)]",CS A,CS B,CS C,Electricitat Total,festiu
13,Summer,Monday,347.22222222222223,80.89966666666666,70.34933333333333,46.50333333333333,197.75233333333333,0.0
13,Summer,Tuesday,406.125,100.35875,78.57775,47.225875,226.162375,0.0
13,Summer,Wednesday,424.375,103.085875,74.09175,49.773375,226.951,0.0
13,Summer,Thursday,368.6666666666667,102.63399999999999,71.84266666666667,51.50944444444445,225.98611111111111,0.0
13,Summer,Friday,353.8888888888889,95.30111111111111,76.73255555555556,49.08544444444445,221.1191111111111,0.0
13,Vacation,Monday,52.916666666666664,39.69975,6.03325,14.9995,60.732499999999995,1.0
13,Vacation,Tuesday,78.55555555555556,42.219,5.499888888888889,17.948666666666668,65.66755555555557,1.0
13,Vacation,Wednesday,45.1,26.539800000000003,5.522,18.713900000000002,50.7757,1.0
13,Vacation,Thursday,62.8,31.7771,10.091,18.1554,60.0235,1.0
13,Vacation,Friday,19.25,20.11475,3.414875,16.6055,40.135125,1.0
13,Winter,Monday,418.0,156.83499999999998,39.4885,69.6674,265.9909,0.0
13,Winter,Tuesday,441.7,159.7676,37.652699999999996,65.06269999999999,262.483,0.0
13,Winter,Wednesday,419.22222222222223,167.44744444444444,31.53922222222222,62.36233333333333,261.349,0.0
13,Winter,Thursday,406.1111111111111,164.34066666666666,32.54044444444445,64.78677777777779,261.6678888888889,0.0
13,Winter,Friday,357.2,141.0059,35.2233,64.6338,240.863,0.0
14,Autumn,Monday,400.90909090909093,112.69454545454546,63.134181818181816,65.46445454545454,241.2931818181818,0.0
14,Autumn,Tuesday,409.0769230769231,113.40446153846155,64.49076923076923,63.178538461538466,241.07376923076924,0.0
14,Autumn,Wednesday,419.6666666666667,120.38499999999999,62.79683333333333,79.01258333333334,262.19441666666665,0.0
14,Autumn,Thursday,425.5833333333333,117.00600000000001,63.69091666666666,78.02116666666667,258.71808333333337,0.0
14,Autumn,Friday,339.61538461538464,102.467,63.20369230769231,69.1853846153846,234.85607692307693,0.0
14,Spring,Monday,250.9,112.7868,39.1981,48.000299999999996,199.9852,0.0
14,Spring,Tuesday,260.4166666666667,115.14058333333332,42.275666666666666,47.691833333333335,205.10808333333333,0.0
14,Spring,Wednesday,252.76923076923077,119.80953846153845,39.602384615384615,56.35030769230769,215.76223076923077,0.0
14,Spring,Thursday,287.25,124.14083333333333,41.20141666666667,54.64575,219.98799999999997,0.0
14,Spring,Friday,265.5,116.25675,35.47391666666667,59.01933333333333,210.75,0.0
14,Summer,Monday,296.55555555555554,78.82455555555555,67.57766666666667,48.151,194.55322222222222,0.0
14,Summer,Tuesday,368.25,100.49125000000001,71.555,48.243874999999996,220.290125,0.0
